insert into teachers (id, cv_url, level, address, age, salary, other_requirements, phone, avatar, sex, status, name) values
  (30,"https://cv/kHvBuktpy4","B2","Ung Hoa",31,150000,"男子生徒のみ受け入れ可能","0936453117","https://antimatter.vn/wp-content/uploads/2022/04/avatar-doi-nguoi-that-ngau-cho-nam.jpg","male","active","Hoang Van Khanh"),
  (31,"https://cv/Skg8Boo5hL","C1","Ba Dinh",26,150000,"完全に学校に行く","0969334781","https://anhdep123.com/wp-content/uploads/2021/02/anh-hoc-sinh-dep.jpg","male","active","Bui Duc Anh"),
  (32,"https://cv/8QWq8ZjmNk","C2","Hoan Kiem",24,80000,"男子生徒のみ受け入れ可能","0982635468","https://i.bloganchoi.com/bloganchoi.com/wp-content/uploads/2022/09/avatar-buon-2022-108.jpg?fit\u003d636%2C20000\u0026quality\u003d95\u0026ssl\u003d1","female","active","Le Thi Thuy Linh"),
  (33,"https://cv/IzbCU18D1N","A1","Hai Ba Trung",28,100000,"男子生徒のみ受け入れ可能","0982107446","https://i.bloganchoi.com/bloganchoi.com/wp-content/uploads/2022/09/avatar-buon-2022-108.jpg?fit\u003d636%2C20000\u0026quality\u003d95\u0026ssl\u003d1","female","active","Le Thi Kim Anh"),
  (34,"https://cv/EfCwjXLpGW","A2","Dong Da",26,80000,"女子学生のみ受け入れ可能","0363198504","https://hanoispiritofplace.com/wp-content/uploads/2016/06/trai-dep-chau-au-4.jpg","male","active","Dinh Van Tu"),
  (35,"https://cv/Bw5DqVt68e","B1","Tay Ho",27,120000,"完全に学校に行く","0912036558","https://anhdep123.com/wp-content/uploads/2021/02/hinh-anh-trai-dep-dau-nam.jpg","male","active","Pham Minh Tuan"),
  (36,"https://cv/rqdX0rlL8j","B2","Cau Giay",23,80000,"男子生徒のみ受け入れ可能","0906325110","https://leminhhoang.vn/wp-content/uploads/2023/05/chon-loc-anh-avatar-buon.jpg","female","active","Le Thi Anh Ngoc"),
  (37,"https://cv/Wz1ik06fuK","C1","Thanh Xuan",28,100000,"女子学生のみ受け入れ可能","0912868360","https://danviet.mediacdn.vn/upload/3-2017/images/2017-09-29/150668688163087-untitled-10.jpg","male","active","Ngo Minh Hieu"),
  (38,"https://cv/Nhb2rEoObi","C2","Hoang Mai",25,100000,"男子生徒のみ受け入れ可能","0906537226","https://antimatter.vn/wp-content/uploads/2022/04/avatar-doi-nguoi-that-ngau-cho-nam.jpg","male","active","Tran Van Duc"),
  (39,"https://cv/DEkAD2z5Jf","A1","Long Bien",26,120000,"完全に学校に行く","0363108337","https://anhdephd.vn/wp-content/uploads/2022/03/anh-dai-dien-nu-deo-kinh-chat-600x600.jpg","female","active","Vu Mai Anh"),
  (40,"https://cv/nDGpSMgxPz","A2","Bac Tu Liem",24,120000,"女子学生のみ受け入れ可能","0982630128","https://i.pinimg.com/236x/07/c0/82/07c08255c5973803c8b19d6a9ca01ab0.jpg","male","active","Ly Quang Minh"),
  (41,"https://cv/jjfRGmxiEO","B1","Nam Tu Liem",25,80000,"完全に学校に行く","0989116302","https://anhdephd.vn/wp-content/uploads/2022/03/anh-dai-dien-nu-deo-kinh-chat-600x600.jpg","female","active","Le Thi Hong Nga"),
  (42,"https://cv/UBTcJwQeYW","B2","Ha Dong",30,100000,"完全に学校に行く","0363549802","https://antimatter.vn/wp-content/uploads/2022/04/avatar-doi-nguoi-that-ngau-cho-nam.jpg","male","active","Ly Quoc Dung"),
  (43,"https://cv/pwKTHCat9O","C1","Son Tay",29,100000,"完全に学校に行く","0912006875","https://nhadepso.com/wp-content/uploads/2023/02/hinh-anh-trai-dep-han-quoc_1.jpg","male","active","Nguyen Van Hung"),
  (44,"https://cv/GV8zDKeOC7","C2","Ba Vi",31,100000,"女子学生のみ受け入れ可能","0969350248","https://i.pinimg.com/236x/07/c0/82/07c08255c5973803c8b19d6a9ca01ab0.jpg","male","active","Le Minh Tuan"),
  (45,"https://cv/EJITBMI5i7","A1","Phuc Tho",28,150000,"女子学生のみ受け入れ可能","0363991845","https://anhdep123.com/wp-content/uploads/2021/02/hinh-anh-trai-dep-dau-nam-2k4.jpg","male","active","Bui Quang Minh"),
  (46,"https://cv/8T9TsCzwqU","A2","Dan Phuong",26,120000,"男子生徒のみ受け入れ可能","0912006873","https://i.pinimg.com/236x/07/c0/82/07c08255c5973803c8b19d6a9ca01ab0.jpg","male","active","Do Van Tu"),
  (47,"https://cv/NR2dEvFdjG","B1","Hoai Duc",27,100000,"完全に学校に行く","0969823065","https://i.pinimg.com/236x/07/c0/82/07c08255c5973803c8b19d6a9ca01ab0.jpg","male","active","Nguyen Van Hoan"),
  (48,"https://cv/aqVNtx56RS","B2","Thach That",33,120000,"完全に学校に行く","0363118267","https://scr.vn/wp-content/uploads/2020/07/Avt-%C4%91%E1%BA%B9p-cho-n%E1%BB%AF-1.jpg","female","active","Nguyen Kim Lien"),
  (49,"https://cv/pI2f7nvJV7","C1","Quoc Oai",25,150000,"完全に学校に行く","0982016774","https://scr.vn/wp-content/uploads/2020/07/Avt-%C4%91%E1%BA%B9p-cho-n%E1%BB%AF-1.jpg","female","active","Dang Thu Thao"),
  (50,"https://cv/HAhEB9QVwE","C2","Chuong My",26,100000,"女子学生のみ受け入れ可能","0912085696","https://antimatter.vn/wp-content/uploads/2022/04/avatar-doi-nguoi-that-ngau-cho-nam.jpg","male","active","Tran Minh Sang");
